number,name,status
3133,Introducing Roles,Rejected
3134,Exception Chaining and Embedded Tracebacks,Final
3132,Extended Iterable Unpacking,Final
3130,Access to Current Module/Class/Function,Rejected
3131,Supporting Non-ASCII Identifiers,Final
3129,Class Decorators,Final
3128,BList: A Faster List-like Type,Rejected
3127,Integer Literal Support and Syntax,Final
3126,Remove Implicit String Concatenation,Rejected
3125,Remove Backslash Continuation,Rejected
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3123,Making PyObject_HEAD conform to standard C,Final
3122,Delineation of the main module,Rejected
3119,Introducing Abstract Base Classes,Final
3120,Using UTF-8 as the default source encoding,Final
3121,Extension Module Initialization and Finalization,Accepted
3117,Postfix type declarations,Rejected
3118,Revising the buffer protocol,Final
3115,Metaclasses in Python 3000,Final
3116,New I/O,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3113,Removal of Tuple Parameter Unpacking,Final
3112,Bytes literals in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3107,Function Annotations,Final
3108,Standard Library Reorganization,Final
3109,Raising Exceptions in Python 3000,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a function,Final
3103,A Switch/Case Statement,Rejected
3104,Access to Names in Outer Scopes,Final
3110,Catching Exceptions in Python 3000,Final
3102,Keyword-Only Arguments,Final
3100,Miscellaneous Python 3.0 Plans,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3099,Things that will Not Change in Python 3000,Final
3003,Python Language Moratorium,Final
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3101,Advanced String Formatting,Final
3000,Python 3000,Final
801,Reserved,Active
754,IEEE 754 Floating Point Special Values,Rejected
709,Inlined comprehensions,Draft
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Draft
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,Draft
706,Filter for tarfile.extractall,Draft
707,A simplified signature for __exit__ and __aexit__,Draft
704,Require virtual environments by default for package installers,Draft
702,Marking deprecations using the type system,Draft
703,Making the Global Interpreter Lock Optional in CPython,Draft
699,Remove private dict version field added in PEP 509,Accepted
700,Additional Fields for the Simple API for Package Indexes,Accepted
701,Syntactic formalization of f-strings,Accepted
698,Override Decorator for Static Typing,Accepted
697,Limited C API for Extending Opaque Types,Draft
696,Type defaults for TypeVarLikes,Draft
695,Type Parameter Syntax,Draft
694,Upload 2.0 API for Python Package Repositories,Draft
693,Python 3.12 Release Schedule,Active
691,JSON-based Simple API for Python Package Indexes,Accepted
690,Lazy Imports,Rejected
692,Using TypedDict for more precise **kwargs typing,Accepted
689,Unstable C API tier,Accepted
688,Making the buffer protocol accessible in Python,Accepted
686,Make UTF-8 mode default,Accepted
684,A Per-Interpreter GIL,Draft
685,Comparison of extra names for optional distribution dependencies,Accepted
683,"Immortal Objects, Using a Fixed Refcount",Accepted
687,Isolating modules in the standard library,Accepted
682,Format Specifier for Signed Zero,Final
681,Data Class Transforms,Accepted
680,tomllib: Support for Parsing TOML in the Standard Library,Accepted
679,Allow parentheses in assert statements,Draft
678,Enriching Exceptions with Notes,Accepted
677,Callable Type Syntax,Rejected
676,PEP Infrastructure Process,Active
675,Arbitrary Literal String Type,Accepted
674,Disallow using macros as l-values,Deferred
673,Self Type,Accepted
671,Syntax for late-bound function argument defaults,Draft
670,Convert macros to functions in the Python C API,Final
672,Unicode-related Security Considerations for Python,Active
667,Consistent views of namespaces,Draft
668,Marking Python base environments as “externally managed”,Accepted
666,Reject Foolish Indentation,Rejected
669,Low Impact Monitoring for CPython,Draft
665,A file format to list Python dependencies for reproducibility of an application,Rejected
664,Python 3.11 Release Schedule,Active
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
662,Editable installs via virtual wheels,Rejected
661,Sentinel Values,Draft
658,Serve Distribution Metadata in the Simple Repository API,Accepted
660,Editable installs for pyproject.toml based builds (wheel based),Final
659,Specializing Adaptive Interpreter,Draft
657,Include Fine Grained Error Locations in Tracebacks,Final
656,Platform Tag for Linux Distributions Using Musl,Final
655,Marking individual TypedDict items as required or potentially-missing,Accepted
654,Exception Groups and except*,Accepted
652,Maintaining the Stable ABI,Final
653,Precise Semantics for Pattern Matching,Draft
651,Robust Stack Overflow Handling,Rejected
649,Deferred Evaluation Of Annotations Using Descriptors,Draft
648,Extensible customizations of the interpreter at startup,Rejected
647,User-Defined Type Guards,Accepted
650,Specifying Installer Requirements for Python Projects,Withdrawn
646,Variadic Generics,Accepted
645,Allow writing optional types as ,Withdrawn
644,Require OpenSSL 1.1.1 or newer,Final
643,Metadata for Package Source Distributions,Final
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
640,Unused variable syntax,Rejected
639,Improving License Clarity with Better Package Metadata,Draft
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
637,Support for indexing with keyword arguments,Rejected
638,Syntactic Macros,Draft
636,Structural Pattern Matching: Tutorial,Final
632,Deprecate distutils module,Accepted
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
635,Structural Pattern Matching: Motivation and Rationale,Final
634,Structural Pattern Matching: Specification,Accepted
630,Isolating Extension Modules,Final
629,Versioning PyPI’s Simple API,Final
628,Add ,Final
626,Precise line numbers for debugging and other tools.,Final
627,Recording installed projects,Final
625,Filename of a Source Distribution,Accepted
624,Remove Py_UNICODE encoder APIs,Final
620,Hide implementation details from the C API,Withdrawn
621,Storing project metadata in pyproject.toml,Final
622,Structural Pattern Matching,Superseded
623,Remove wstr from Unicode,Final
617,New PEG parser for CPython,Accepted
618,Add Optional Length-Checking To zip,Final
615,Support for the IANA Time Zone Database in the Standard Library,Accepted
616,String methods to remove prefixes and suffixes,Final
619,Python 3.10 Release Schedule,Active
613,Explicit Type Aliases,Accepted
612,Parameter Specification Variables,Accepted
614,Relaxing Grammar Restrictions On Decorators,Final
609,Python Packaging Authority (PyPA) Governance,Active
610,Recording the Direct URL Origin of installed distributions,Final
611,The one million limit,Withdrawn
608,Coordinated Python release,Rejected
607,Reducing CPython’s Feature Delivery Latency,Final
604,Allow writing union types as ,Accepted
605,A rolling feature release stream for CPython,Rejected
606,Python Compatibility Version,Rejected
603,Adding a frozenmap type to collections,Draft
602,Annual Release Cycle for Python,Accepted
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
599,The manylinux2014 Platform Tag,Superseded
601,Forbid return/break/continue breaking out of finally,Rejected
598,Introducing incremental feature releases,Withdrawn
597,Add optional EncodingWarning,Final
596,Python 3.9 Release Schedule,Active
591,Adding a final qualifier to typing,Accepted
592,Adding “Yank” Support to the Simple API,Final
595,Improving bugs.python.org,Withdrawn
593,Flexible function and variable annotations,Accepted
594,Removing dead batteries from the standard library,Accepted
590,Vectorcall: a fast calling protocol for CPython,Accepted
588,GitHub Issues Migration Plan,Draft
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Accepted
585,Type Hinting Generics In Standard Collections,Final
586,Literal Types,Accepted
584,Add Union Operators To dict,Final
583,A Concurrency Memory Model for Python,Withdrawn
582,Python local packages directory,Draft
587,Python Initialization Configuration,Final
581,Using GitHub Issues for CPython,Accepted
580,The C call protocol,Rejected
577,Augmented Assignment Expressions,Withdrawn
576,Rationalize Built-in function classes,Withdrawn
578,Python Runtime Audit Hooks,Accepted
575,Unifying function/method classes,Withdrawn
579,Refactoring C functions and methods,Final
573,Module State Access from C Extension Methods,Final
570,Python Positional-Only Parameters,Final
571,The manylinux2010 Platform Tag,Superseded
572,Assignment Expressions,Final
574,Pickle protocol 5 with out-of-band data,Final
567,Context Variables,Final
568,Generator-sensitivity for Context Variables,Deferred
565,Show DeprecationWarning in __main__,Final
566,Metadata for Python Software Packages 2.1,Final
564,Add new time functions with nanosecond resolution,Final
560,Core support for typing module and generic types,Accepted
561,Distributing and Packaging Type Information,Final
559,Built-in noop(),Rejected
562,Module __getattr__ and __dir__,Final
563,Postponed Evaluation of Annotations,Accepted
555,Context-local variables (contextvars),Withdrawn
558,Defined semantics for locals(),Deferred
556,Threaded garbage collection,Deferred
557,Data Classes,Final
554,Multiple Interpreters in the Stdlib,Draft
552,Deterministic pycs,Final
553,Built-in breakpoint(),Final
551,Security transparency in the Python runtime,Withdrawn
569,Python 3.8 Release Schedule,Active
549,Instance Descriptors,Rejected
550,Execution Context,Withdrawn
548,More Flexible Loop Control,Rejected
